,time,speed,rpm,acceleration,throttle_position,engine_temperature,barometric_pressure,distance_travelled,engine_load_value,heart_rate,body_temperature,current_weather,temperature,visibility,precipitation,accidents_onsite,design_speed,risk_level
0,13:47:21,0,0.045045045,0.5872641509433962,0.005479452,0.8000000000000007,1,0,0.058457711,0.6136363636363635,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
2,13:47:23,0,0.045045045,0.5872641509433962,0.005479452,0.8000000000000007,1,0,0.058457711,0.6136363636363635,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
3,13:47:25,0,0.045045045,0.5872641509433962,0.005479452,0.8000000000000007,1,0,0.058457711,0.6818181818181819,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
4,13:47:26,0,0.042709376,0.5872641509433962,0.005479452,0.8000000000000007,1,0,0.053482587,0.6818181818181819,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
5,13:47:27,0,0.04671338,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.053482587,0.6818181818181819,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
6,13:47:28,0,0.04671338,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.053482587,0.6818181818181819,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
7,13:47:29,0,0.049716383,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.053482587,0.6818181818181819,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
8,13:47:30,0,0.049716383,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.083333333,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
9,13:47:31,0,0.045045045,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.073383085,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
10,13:47:32,0,0.042042042,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.10696517412935327,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
11,13:47:33,0,0.045378712045378716,0.5872641509433962,0.005479452,0.9000000000000004,1,0,0.098258706,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
12,13:47:34,0,0.035702369,0.5872641509433962,0.032876712,0.9000000000000004,1,0,0.12686567164179105,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
13,13:47:35,0.020202020202020204,0.075742409,0.6415094339622641,0.016438356,0.9000000000000004,1,1.2688791084492848e-05,0.3905472636815921,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
14,13:47:36,0.030303030303030304,0.086419753,0.6650943396226415,0.021917808219178075,0.9000000000000004,1,2.1752213287702022e-05,0.21517412935323385,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
15,13:47:37,0.030303030303030304,0.1398064731398065,0.6533018867924528,0.021917808219178075,0.9000000000000004,1,3.806637325347854e-05,0.16169154228855728,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
16,13:47:38,0.020202020202020204,0.14447781114447783,0.5377358490566038,0.021917808219178075,0.9000000000000004,1,4.5317111016045884e-05,0.1567164179104478,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
17,13:47:39,0.04040404,0.12979646312979648,0.5377358490566038,0.032876712,0.9000000000000004,1,7.432006206631526e-05,0.1753731343283582,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
18,13:47:40,0.010101010101010102,0.17250583917250584,0.5377358490566038,0.021917808219178075,0.9000000000000004,1,7.613274650695708e-05,0.18034825870646773,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
19,13:47:41,0,0.1074407741074408,0.46933962264150947,0.016438356,0.9000000000000004,1,7.613274650695708e-05,0.12686567164179105,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
20,13:47:42,0,0.066066066,0.5566037735849056,0.075342466,0.9000000000000004,1,7.613274650695708e-05,0.2487562189054727,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
21,13:47:43,0.050505051,0.324657991,0.6674528301886793,0.049315068493150704,0.9000000000000004,1,0.00010151,0.16542288557213933,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
22,13:47:44,0.090909091,0.3033033033033033,0.7806603773584906,0.13013698630136986,0.9000000000000004,1,0.000145015,0.5907960199004976,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
23,13:47:45,0.12121212121212122,0.48982315648982316,0.8018867924528301,0.1136986301369863,1.0000000000000018,1,0.000206646,0.37064676616915426,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
24,13:47:46,0.15151515151515152,0.26926926926926925,0.7688679245283019,0.10273972602739725,0.9000000000000004,1,0.000286404,0.6679104477611941,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
25,13:47:47,0.17171717171717174,0.3153153153153153,0.7405660377358491,0.038356164,0.9000000000000004,1,0.00036435,0.22014925373134328,0.75,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
26,13:47:48,0.17171717171717174,0.32599265932599264,0.6509433962264151,0.038356164,0.9000000000000004,1,0.000462235,0.10323383084577117,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
27,13:47:49,0.18181818181818182,0.36069402736069406,0.6391509433962265,0.032876712,0.7000000000000011,1,0.000541993,0.1567164179104478,0.75,0.4545454545454546,1,1,1,0,0.11475409836065575,0.5,1
28,13:47:50,0.18181818181818182,0.34734734734734735,0.6132075471698113,0.069863014,0.7000000000000011,1,0.000629002,0.21517412935323385,0.659090909,0.4545454545454546,1,1,1,0,0.11065573770491804,0.5,1
29,13:47:51,0.20202020202020204,0.39439439439439444,0.6415094339622641,0.075342466,0.7000000000000011,1,0.000737763,0.2338308457711443,0.659090909,0.4545454545454546,1,1,1,0,0.10655737704918034,0.5,1
