,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
0,15.0,0.0,878.9999999999999,0.0,21.2,108.0,24.299999999999997,77.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
1,15.0,0.0,887.9999999999998,0.0,21.2,108.0,24.299999999999997,77.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
2,15.0,0.0,888.9999999999998,0.0,21.2,108.0,24.299999999999997,80.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
3,15.0,0.0,881.0,0.0,21.2,108.0,24.699999999999996,80.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
4,15.0,0.0,883.9999999999997,0.0,21.2,108.0,24.699999999999996,80.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
5,15.0,0.0,894.0,0.0,22.0,109.0,25.1,80.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
6,15.0,0.0,899.9999999999998,0.0,21.599999999999994,109.0,25.1,76.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
7,15.0,0.0,888.9999999999998,0.0,21.2,109.0,24.699999999999996,76.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
8,15.0,0.0,884.9999999999998,0.0,21.2,109.0,24.699999999999996,73.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
9,15.0,0.0,896.9999999999997,0.0,21.599999999999994,109.0,24.699999999999996,73.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
10,15.0,0.0,897.9999999999997,0.0,21.599999999999994,109.0,24.699999999999996,76.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
11,15.0,0.0,881.0,0.0,21.2,108.0,24.699999999999996,76.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
12,15.0,0.0,898.9999999999998,0.0,21.599999999999994,108.0,24.699999999999996,76.0,8.999999999999998,16.1,2.3999999999999977,8.999999999999991,70.0,0.0,1.0
