,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
3901,16,66,2377,-0.44,16.9,91,24.7,98,7,8.0,8.0,5.0,90.0,0.0,1
3902,16,66,2363,0.26,21.2,91,48.2,98,7,8.0,8.0,5.0,90.0,0.0,1
3903,16,67,2414,0.26,19.2,91,45.5,98,7,8.0,8.0,5.0,90.0,0.0,1
3904,16,67,2415,0.13,16.5,91,25.9,98,7,8.0,8.0,5.0,90.0,0.0,1
3905,16,66,2403,-0.13,16.9,91,23.5,98,7,8.0,8.0,5.0,90.0,0.0,1
3906,16,66,2440,-0.13,21.2,91,52.2,100,7,8.0,8.0,5.0,90.0,0.0,1
3907,16,68,2481,0.22,21.6,91,46.7,100,7,8.0,8.0,4.0,90.0,0.0,1
3908,16,70,2550,0.34,20.8,91,45.1,100,7,8.0,8.0,5.0,90.0,0.0,1
3909,16,72,2582,0.31,20.0,91,43.1,100,7,8.0,8.0,5.0,90.0,0.0,1
3910,16,72,2605,0.26,19.6,91,34.9,100,7,8.0,8.0,6.0,90.0,0.0,1
3911,16,73,2621,0.26,19.6,91,29.0,100,7,8.0,8.0,5.0,90.0,0.0,1
3912,16,73,2629,0.1,17.6,91,25.5,100,7,8.0,8.0,5.0,90.0,0.0,1
3913,16,72,2643,-0.13,17.3,91,20.4,100,7,8.0,8.0,8.0,90.0,0.0,1
3914,16,72,2600,-0.26,20.0,92,24.7,100,7,8.0,8.0,8.0,90.0,0.0,1
3915,16,72,2596,0.21,22.0,92,48.6,98,7,8.0,8.0,9.0,90.0,0.0,1
3916,16,73,2642,0.21,27.5,92,65.5,98,7,8.0,8.0,9.0,90.0,0.0,1
3917,16,74,2666,0.21,19.2,92,34.5,98,7,8.0,8.0,10.0,90.0,0.0,1
3918,16,74,2679,0.13,20.0,92,40.8,98,7,8.0,8.0,11.0,90.0,0.0,1
3919,16,74,2688,0.0,16.9,92,27.8,98,7,8.0,8.0,12.0,90.0,0.0,1
3920,16,73,2665,0.13,18.8,92,36.9,98,7,8.0,8.0,12.0,90.0,0.0,1
3921,16,74,2664,0.13,20.0,92,36.5,98,7,8.0,8.0,12.0,90.0,0.0,1
3922,16,74,2677,0.13,18.8,92,31.8,98,7,8.0,8.0,12.0,90.0,0.0,1
3923,16,74,2687,0.1,31.0,92,45.1,98,7,8.0,8.0,10.0,90.0,1.0,2
3924,16,76,2756,0.1,33.7,92,81.6,97,7,8.0,8.0,21.0,90.0,1.0,2
3925,16,78,2832,0.32,27.1,92,69.8,97,7,8.0,8.0,21.0,90.0,1.0,2
3926,16,80,2877,0.4,31.4,92,73.7,97,7,8.0,8.0,21.0,90.0,1.0,2
3927,16,81,2945,0.37,28.6,92,75.7,96,7,8.0,8.0,20.0,90.0,1.0,2
3928,16,81,2952,0.25,19.6,92,23.5,96,7,8.0,8.0,21.0,90.0,1.0,2
3929,16,81,2941,0.11,36.1,92,36.9,96,7,8.0,8.0,20.0,90.0,1.0,2
3930,16,82,3179,0.1,17.6,92,89.0,93,7,8.0,8.0,19.0,90.0,1.0,2
3931,16,84,2404,0.18,54.1,92,53.3,93,7,8.0,8.0,18.0,90.0,1.0,2
3932,16,85,2448,0.22,18.4,92,53.3,93,7,8.0,8.0,19.0,90.0,1.0,2
3933,16,85,2447,0.1,25.1,92,63.1,92,7,8.0,8.0,20.0,90.0,1.0,2
3934,16,87,2490,0.13,54.1,92,88.2,92,7,8.0,8.0,17.0,90.0,1.0,2
3935,16,87,2512,0.26,18.4,92,62.4,92,7,8.0,8.0,19.0,90.0,1.0,2
3936,16,87,2502,0.13,25.1,92,35.3,92,7,8.0,8.0,19.0,90.0,1.0,2
3937,16,86,2495,-0.13,23.5,92,25.1,92,7,8.0,8.0,21.0,90.0,1.0,2
3938,16,87,2503,0.31,24.3,92,59.2,92,7,8.0,8.0,21.0,80.0,0.0,2
3939,16,90,2521,0.31,56.5,92,81.6,91,7,8.0,8.0,21.0,80.0,0.0,2
3940,16,91,2602,0.31,32.2,92,89.0,91,7,8.0,8.0,20.0,80.0,0.0,2
3941,16,91,2608,0.13,18.4,92,36.9,91,7,8.0,8.0,20.0,80.0,0.0,2
3942,16,91,2601,0.0,19.6,92,40.0,91,7,8.0,8.0,19.0,80.0,0.0,2
3943,16,91,2599,0.0,18.8,92,45.9,91,7,8.0,8.0,16.0,80.0,0.0,2
3944,16,91,2602,0.0,22.7,92,51.0,91,7,8.0,8.0,12.0,80.0,0.0,2
3945,16,92,2610,0.0,22.0,92,49.4,91,7,8.0,8.0,14.0,80.0,0.0,2
3946,16,92,2613,0.13,22.0,92,69.4,91,7,8.0,8.0,14.0,80.0,0.0,2
3947,16,92,2656,0.09,25.5,92,69.4,91,7,8.0,8.0,16.0,80.0,0.0,2
