,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time
0,15,0,652,0.0,12.5,97,23.5,96,18,3.2,0.0,9.0,70.0,0.0
1,15,0,652,0.0,12.5,97,23.5,96,18,3.2,0.0,9.0,70.0,0.0
2,15,0,673,0.0,12.5,97,23.5,100,18,3.2,0.0,9.0,70.0,0.0
3,15,0,668,0.0,12.5,97,23.5,100,18,3.2,0.0,9.0,70.0,0.0
4,15,0,662,0.0,12.5,97,23.5,100,18,3.2,0.0,9.0,70.0,0.0
5,15,0,649,0.0,12.5,97,23.5,100,18,3.2,0.0,9.0,70.0,0.0
6,15,0,664,0.0,12.5,97,23.5,100,18,3.2,0.0,9.0,70.0,0.0
7,15,0,649,0.0,12.5,97,23.5,96,18,3.2,0.0,9.0,70.0,0.0
8,15,0,662,0.0,12.5,97,23.1,96,18,3.2,0.0,9.0,70.0,0.0
9,15,0,671,0.0,12.5,97,23.5,96,18,3.2,0.0,9.0,70.0,0.0
10,15,0,674,0.0,12.5,97,23.5,96,18,3.2,0.0,9.0,70.0,0.0
11,15,0,663,0.0,12.5,97,23.5,96,18,3.2,0.0,9.0,70.0,0.0
12,15,0,646,0.0,12.5,97,23.1,94,18,3.2,0.0,9.0,70.0,0.0
13,15,0,662,0.0,12.5,97,23.5,94,18,3.2,0.0,9.0,70.0,0.0
14,15,0,664,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
15,15,0,666,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
16,15,0,669,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
17,15,0,673,0.0,12.5,97,23.5,98,18,3.2,0.0,11.0,70.0,0.0
18,15,0,662,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
19,15,0,677,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
20,15,0,678,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
21,15,0,674,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
22,15,0,650,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
23,15,0,652,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
24,15,0,665,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
25,15,0,672,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
26,15,0,662,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
27,15,0,660,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
28,15,0,673,0.0,12.5,97,23.5,98,18,3.2,0.0,9.0,70.0,0.0
29,15,0,647,0.0,12.5,97,23.1,98,18,3.2,0.0,9.0,70.0,0.0
30,15,0,655,0.0,12.5,98,23.1,98,18,3.2,0.0,9.0,70.0,0.0
31,15,0,656,0.0,12.5,98,23.5,98,18,3.2,0.0,9.0,70.0,0.0
32,15,0,653,0.0,12.5,98,23.5,98,18,3.2,0.0,9.0,70.0,0.0
33,15,0,652,0.0,12.5,98,23.5,98,18,3.2,0.0,9.0,70.0,0.0
34,15,0,653,0.0,12.5,98,23.1,98,18,3.2,0.0,9.0,70.0,0.0
35,15,0,643,0.0,12.5,98,23.1,98,18,3.2,0.0,9.0,70.0,0.0
36,15,0,678,0.0,12.5,98,23.1,98,18,3.2,0.0,9.0,70.0,0.0
37,15,0,663,0.0,12.5,98,23.1,98,18,3.2,0.0,10.0,70.0,0.0
38,15,0,666,0.0,12.9,98,23.5,98,18,3.2,0.0,9.0,70.0,0.0
39,15,0,674,0.0,12.5,98,23.1,98,18,3.2,0.0,9.0,70.0,0.0
40,15,0,653,0.0,12.5,99,23.1,98,18,3.2,0.0,9.0,70.0,0.0
41,15,0,657,0.0,12.9,99,23.5,98,18,3.2,0.0,9.0,70.0,0.0
42,15,0,685,0.0,12.5,99,23.9,98,18,3.2,0.0,9.0,70.0,0.0
43,15,0,684,0.0,12.5,99,23.5,98,18,3.2,0.0,9.0,70.0,0.0
44,15,0,667,0.0,12.5,99,23.1,98,18,3.2,0.0,9.0,70.0,0.0
45,15,0,651,0.0,12.5,99,23.5,98,18,3.2,0.0,9.0,70.0,0.0
46,15,0,669,0.0,12.9,99,23.9,98,18,3.2,0.0,9.0,70.0,0.0
47,15,0,679,0.0,12.5,99,23.5,98,18,3.2,0.0,9.0,70.0,0.0
48,15,0,653,0.0,12.5,99,23.1,98,18,3.2,0.0,9.0,70.0,0.0
49,15,0,677,0.0,12.5,99,23.1,98,18,3.2,0.0,9.0,70.0,0.0
50,15,0,660,0.0,12.5,99,23.5,98,18,3.2,0.0,9.0,70.0,0.0
51,15,0,673,0.0,12.5,99,23.1,98,18,3.2,0.0,9.0,70.0,0.0
52,15,0,655,0.0,13.7,99,30.2,98,18,3.2,0.0,9.0,70.0,0.0
53,15,0,652,0.0,12.5,99,27.1,98,18,3.2,0.0,9.0,70.0,0.0
54,15,0,651,0.0,12.9,99,25.5,98,18,3.2,0.0,9.0,70.0,0.0
55,15,0,653,0.0,12.9,99,25.9,98,18,3.2,0.0,9.0,70.0,0.0
56,15,0,654,0.0,12.9,99,25.9,98,18,3.2,0.0,9.0,70.0,0.0
57,15,0,651,0.0,12.9,99,26.3,98,18,3.2,0.0,10.0,70.0,0.0
58,15,0,657,0.0,12.9,99,26.3,98,18,3.2,0.0,9.0,70.0,0.0
59,15,0,658,0.0,12.9,99,26.3,102,18,3.2,0.0,9.0,70.0,0.0
60,15,0,656,0.0,12.9,99,26.3,102,18,3.2,0.0,9.0,70.0,0.0
61,15,0,660,0.0,12.9,100,26.3,102,18,3.2,0.0,9.0,70.0,0.0
62,15,0,658,0.0,12.9,100,26.3,102,18,3.2,0.0,9.0,70.0,0.0
63,15,0,655,0.0,12.9,100,26.3,102,18,3.2,0.0,9.0,70.0,0.0
64,15,0,651,0.0,12.9,100,26.3,102,18,3.2,0.0,9.0,70.0,0.0
65,15,0,661,0.0,12.9,99,26.3,98,18,3.2,0.0,9.0,70.0,0.0
66,15,0,656,0.0,12.9,99,26.3,98,18,3.2,0.0,9.0,70.0,0.0
67,15,0,655,0.0,12.9,99,26.3,98,18,3.2,0.0,9.0,70.0,0.0
68,15,0,660,0.0,12.9,99,26.3,98,18,3.2,0.0,9.0,70.0,0.0
69,15,0,658,0.0,12.9,98,26.3,98,18,3.2,0.0,9.0,70.0,0.0
70,15,0,657,0.0,12.9,97,26.3,98,18,3.2,0.0,9.0,70.0,0.0
71,15,0,653,0.0,12.9,97,26.3,98,18,3.2,0.0,9.0,70.0,0.0
72,15,0,660,0.0,12.9,97,26.3,98,18,3.2,0.0,9.0,70.0,0.0
73,15,0,654,0.0,12.9,97,26.3,102,18,3.2,0.0,9.0,70.0,0.0
74,15,0,656,0.0,12.9,96,26.3,102,18,3.2,0.0,9.0,70.0,0.0
75,15,0,658,0.0,12.9,96,26.3,102,18,3.2,0.0,9.0,70.0,0.0
76,15,0,658,0.0,12.9,95,26.3,102,18,3.2,0.0,9.0,70.0,0.0
77,15,0,657,0.0,12.9,95,26.3,102,18,3.2,0.0,9.0,70.0,0.0
78,15,0,658,0.0,12.9,94,26.3,102,18,3.2,0.0,9.0,70.0,0.0
79,15,0,655,0.0,12.9,94,26.3,102,18,3.2,0.0,9.0,70.0,0.0
80,15,0,660,0.0,12.9,94,26.3,106,18,3.2,0.0,9.0,70.0,0.0
81,15,0,657,0.0,12.9,94,26.3,106,18,3.2,0.0,9.0,70.0,0.0
82,15,0,665,0.0,12.9,94,26.7,106,18,3.2,0.0,9.0,70.0,0.0
83,15,0,671,0.0,12.9,94,26.3,102,18,3.2,0.0,9.0,70.0,0.0
84,15,0,683,0.0,12.9,94,25.1,102,18,3.2,0.0,9.0,70.0,0.0
85,15,0,651,0.0,12.5,93,24.3,102,18,3.2,0.0,9.0,70.0,0.0
86,15,0,652,0.0,12.9,93,23.9,102,18,3.2,0.0,9.0,70.0,0.0
87,15,0,671,0.0,12.9,93,23.5,102,18,3.2,0.0,9.0,70.0,0.0
88,15,0,669,0.0,12.5,92,23.9,102,18,3.2,0.0,9.0,70.0,0.0
89,15,0,658,0.0,12.5,92,23.5,102,18,3.2,0.0,9.0,70.0,0.0
90,15,0,662,0.0,12.9,92,23.5,102,18,3.2,0.0,9.0,70.0,0.0
91,15,0,682,0.0,12.5,92,23.9,102,18,3.2,0.0,9.0,70.0,0.0
92,15,0,654,0.0,12.5,92,23.9,102,18,3.2,0.0,9.0,70.0,0.0
93,15,0,674,0.0,12.5,92,23.5,102,18,3.2,0.0,9.0,70.0,0.0
94,15,0,651,0.0,12.5,91,23.5,102,18,3.2,0.0,9.0,70.0,0.0
